feature_or_group,n_cols,base_score,importance_mean,importance_std,base_mae,imp_mae_mean,imp_mae_std,model
Max_Nivel_Educativo,1,0.48831087567360987,0.008665535211730009,0.00026932516868432904,0.20176810299809536,0.0020064395259772835,6.616315663434382e-05,Lasso_best
IX_TOT,1,0.48831087567360987,0.007734939200629927,0.00022541324816084633,0.20176810299809536,0.001336244064773386,5.389121479967051e-05,Lasso_best
ANO4,1,0.48831087567360987,0.007336884265877834,0.0003207386206638305,0.20176810299809536,0.0016376096182358728,7.172707783397355e-05,Lasso_best
Personas_25-64,1,0.48831087567360987,0.006496919067917406,0.00022254737821976215,0.20176810299809536,0.0012246340549177679,5.5628900456370204e-05,Lasso_best
VIVIENDA_HOGAR,8,0.48831087567360987,0.0064273590230081905,0.00027747254899896723,0.20176810299809536,0.0011843933042480724,6.837802864035456e-05,Lasso_best
Personas_4-8,1,0.48831087567360987,0.0035225676880700292,0.00021364801232248012,0.20176810299809536,0.0009483999289612975,5.765741738040158e-05,Lasso_best
PROP,1,0.48831087567360987,0.0035196569151272152,0.00018825647857509625,0.20176810299809536,0.0008399473394610095,3.928586923941178e-05,Lasso_best
Personas_9-12,1,0.48831087567360987,0.003125076671619276,0.00020162652770619886,0.20176810299809536,0.0008591797537108259,4.6780152258827876e-05,Lasso_best
Personas_65+,1,0.48831087567360987,0.002897868012805667,0.00015616379364531905,0.20176810299809536,0.0011590400194306193,4.475362916022729e-05,Lasso_best
Region,1,0.48831087567360987,0.002408283117405504,0.0001404190868832383,0.20176810299809536,0.0005630448418931205,3.8365032613417103e-05,Lasso_best
Personas_18-24,1,0.48831087567360987,0.00223477116911334,0.00014976779410378176,0.20176810299809536,0.00043944402754384865,3.8650721020111317e-05,Lasso_best
TRIMESTRE,1,0.48831087567360987,0.0009664477007911287,7.340399250638754e-05,0.20176810299809536,0.00024182975391514873,1.769771720339179e-05,Lasso_best
H16,1,0.48831087567360987,0.0008494472981192769,8.131906557049169e-05,0.20176810299809536,0.00014842814127293916,1.7713162199630495e-05,Lasso_best
Personas_0-3,1,0.48831087567360987,0.0007255402883460345,9.379420461800226e-05,0.20176810299809536,0.00021104792415259274,2.4200280584515324e-05,Lasso_best
V01,1,0.48831087567360987,0.0006925163659104523,7.090441353045953e-05,0.20176810299809536,0.00015308628920317294,1.7655216519199975e-05,Lasso_best
Reg_rk,1,0.48831087567360987,0.0006034483156163765,5.299359259649483e-05,0.20176810299809536,0.00012899197741419362,1.6327933950143088e-05,Lasso_best
AGLOMERADO,1,0.48831087567360987,0.0002847412928990748,3.3576982646398216e-05,0.20176810299809536,6.588749745084037e-05,7.686043847806412e-06,Lasso_best
H15,1,0.48831087567360987,0.0,0.0,0.20176810299809536,0.0,0.0,Lasso_best
P05,1,0.48831087567360987,0.0,0.0,0.20176810299809536,0.0,0.0,Lasso_best
Personas_13-17,1,0.48831087567360987,0.0,0.0,0.20176810299809536,0.0,0.0,Lasso_best
ESTRUCTURA_LABORAL,3,0.5458102418720587,0.47287069073398824,0.0035201814003744335,0.1916956598742701,0.08731494019408936,0.0005200709207142481,MLP_best
P03,1,0.5458102418720587,0.16930214149805128,0.0015466009675828378,0.1916956598742701,0.03448113536056201,0.0002886945576674056,MLP_best
CALIDAD_LABORAL,1,0.5458102418720587,0.10939051965013122,0.0012273961291929582,0.1916956598742701,0.0228002602009556,0.00021278582199901825,MLP_best
EDUCACION,2,0.5458102418720587,0.07664976164972907,0.0011172821669863486,0.1916956598742701,0.01731681335086862,0.0002456385245784755,MLP_best
P02,1,0.5458102418720587,0.05157820738666983,0.0008260367715435454,0.1916956598742701,0.011632861432361733,0.00018901912003659719,MLP_best
AGLO_rk,1,0.5458102418720587,0.03239222467050336,0.0006491158438968602,0.1916956598742701,0.007884021353702527,0.00012522983648506665,MLP_best
IX_TOT,1,0.5458102418720587,0.02705092034895553,0.0007326830518691493,0.1916956598742701,0.005577222085861144,0.00017212794672727692,MLP_best
VIVIENDA_HOGAR,8,0.5458102418720587,0.027024055189212557,0.0007253838924319585,0.1916956598742701,0.006100285774970658,0.00015197193583035203,MLP_best
AGLOMERADO,1,0.5458102418720587,0.024922265427415623,0.0006440863905398291,0.1916956598742701,0.006232400320281049,0.00014783910546882517,MLP_best
CH07,1,0.5458102418720587,0.024152800721571086,0.0004887952588362388,0.1916956598742701,0.005331525446890928,0.00011249376095810596,MLP_best
Region,1,0.5458102418720587,0.020861230716866526,0.000492714962484892,0.1916956598742701,0.005078356365556222,0.00013728980373077464,MLP_best
Personas_25-64,1,0.5458102418720587,0.020842752200185263,0.000631083195160219,0.1916956598742701,0.003967165715741148,0.0001277932621965811,MLP_best
Personas_65+,1,0.5458102418720587,0.013794810460163617,0.0005368693477494589,0.1916956598742701,0.0037023282751933654,9.719908313769921e-05,MLP_best
Max_Nivel_Educativo,1,0.5458102418720587,0.011539460825493756,0.0003091991452289618,0.1916956598742701,0.0027013110978698204,6.789203800106256e-05,MLP_best
H16,1,0.5458102418720587,0.009224261289663416,0.00042959470747340705,0.1916956598742701,0.0019080421174347403,0.00010277917967592349,MLP_best
